Tiempo (s) Experimento 1000 al inicio,Fuerza (N) Experimento 1000 al inicio,Tiempo (s) EXP 1 - 1050,Fuerza (N) EXP 1 - 1050,Tiempo (s) EXP 2 - 1050,Fuerza (N) EXP 2 - 1050,Tiempo (s) EXP 1- 1100,Fuerza (N) EXP 1- 1100,Tiempo (s) EXP 2 - 1100,Fuerza (N) EXP 2 - 1100,Tiempo (s) EXP 1- 1150,Fuerza (N) EXP 1- 1150,Tiempo (s) EXP 2 - 1150,Fuerza (N) EXP 2 - 1150,Tiempo (s) EXP 1- 1200,Fuerza (N) EXP 1- 1200,Tiempo (s) EXP 2 - 1200,Fuerza (N) EXP 2 - 1200,Tiempo (s) EXP 1- 1250,Fuerza (N) EXP 1- 1250,Tiempo (s) EXP 2 - 1250,Fuerza (N) EXP 2 - 1250,Tiempo (s) EXP 1- 1300,Fuerza (N) EXP 1- 1300,Tiempo (s) EXP 2 - 1300,Fuerza (N) EXP 2 - 1300,Tiempo (s) EXP 1- 1350,Fuerza (N) EXP 1- 1350,Tiempo (s) EXP 2 - 1350,Fuerza (N) EXP 2 - 1350,Tiempo (s) EXP 1- 1400,Fuerza (N) EXP 1- 1400,Tiempo (s) EXP 2 - 1400,Fuerza (N) EXP 2 - 1400,Tiempo (s) EXP 1- 1450,Fuerza (N) EXP 1- 1450,Tiempo (s) EXP 2 - 1450,Fuerza (N) EXP 2 - 1450,Tiempo (s) EXP 1- 1500,Fuerza (N) EXP 1- 1500,Tiempo (s) EXP 2 - 1500,Fuerza (N) EXP 2 - 1500,Tiempo (s) EXP 1- 1550,Fuerza (N) EXP 1- 1550,Tiempo (s) EXP 2 - 1550,Fuerza (N) EXP 2 - 1550,Tiempo (s) EXP 1- 1600,Fuerza (N) EXP 1- 1600,Tiempo (s) EXP 2 - 1600,Fuerza (N) EXP 2 - 1600,Tiempo (s) EXP 1- 1650,Fuerza (N) EXP 1- 1650,Tiempo (s) EXP 2 - 1650,Fuerza (N) EXP 2 - 1650,Tiempo (s) EXP 1- 1700,Fuerza (N) EXP 1- 1700,Tiempo (s) EXP 2 - 1700,Fuerza (N) EXP 2 - 1700,Tiempo (s) EXP 1- 1750,Fuerza (N) EXP 1- 1750,Tiempo (s) EXP 2 - 1750,Fuerza (N) EXP 2 - 1750,Tiempo (s) EXP 1- 1800,Fuerza (N) EXP 1- 1800,Tiempo (s) EXP 2 - 1800,Fuerza (N) EXP 2 - 1800,Tiempo (s) EXP 1- 1850,Fuerza (N) EXP 1- 1850,Tiempo (s) EXP 2 - 1850,Fuerza (N) EXP 2 - 1850,Tiempo (s) EXP 1- 1900,Fuerza (N) EXP 1- 1900,Tiempo (s) EXP 2 - 1900,Fuerza (N) EXP 2 - 1900,Tiempo (s) EXP 1- 1950,Fuerza (N) EXP 1- 1950,Tiempo (s) EXP 2 - 1950,Fuerza (N) EXP 2 - 1950,Tiempo (s) EXP 1- 2000,Fuerza (N) EXP 1- 2000,Tiempo (s) EXP 2 - 2000,Fuerza (N) EXP 2 - 2000,Tiempo (s) Experimento 1000 al final,Fuerza (N) Experimento 1000 al final
"1,550","-0,002","1,550","-0,052","1,550","-0,050","1,550","-0,123","1,550","-0,114","1,550","-0,189","1,550","-0,191","1,550","-0,280","1,550","-0,266","1,550","-0,368","1,550","-0,357","1,550","-0,434","1,550","-0,434","1,550","-0,514","1,550","-0,523","1,550","-0,582","1,550","-0,597","1,550","-0,652","1,550","-0,657","1,550","-0,698","1,550","-0,704","1,550","-0,766","1,550","-0,765","1,550","-0,820","1,550","-0,827","1,550","-0,859","1,550","-0,874","1,550","-0,915","1,550","-0,909","1,550","-0,902","1,550","-1,002","1,550","-0,945","1,550","-0,938","1,550","-0,990","1,550","-0,927","1,550","-0,902","1,550","-0,936","1,550","-0,904","1,550","-0,822","1,550","-0,797","1,550","-0,836","1,550","0,045"
"1,600","0,002","1,600","-0,039","1,600","-0,054","1,600","-0,121","1,600","-0,129","1,600","-0,191","1,600","-0,202","1,600","-0,277","1,600","-0,268","1,600","-0,364","1,600","-0,359","1,600","-0,448","1,600","-0,436","1,600","-0,518","1,600","-0,518","1,600","-0,581","1,600","-0,607","1,600","-0,656","1,600","-0,654","1,600","-0,693","1,600","-0,716","1,600","-0,768","1,600","-0,754","1,600","-0,832","1,600","-0,841","1,600","-0,900","1,600","-0,897","1,600","-0,986","1,600","-0,974","1,600","-1,009","1,600","-1,086","1,600","-1,052","1,600","-1,025","1,600","-1,108","1,600","-1,045","1,600","-0,999","1,600","-1,050","1,600","-1,000","1,600","-0,941","1,600","-0,911","1,600","-0,941","1,600","0,048"
"1,650","0,005","1,650","-0,046","1,650","-0,052","1,650","-0,123","1,650","-0,121","1,650","-0,200","1,650","-0,200","1,650","-0,273","1,650","-0,279","1,650","-0,361","1,650","-0,357","1,650","-0,454","1,650","-0,429","1,650","-0,523","1,650","-0,514","1,650","-0,577","1,650","-0,607","1,650","-0,654","1,650","-0,668","1,650","-0,706","1,650","-0,718","1,650","-0,759","1,650","-0,766","1,650","-0,834","1,650","-0,841","1,650","-0,922","1,650","-0,893","1,650","-0,990","1,650","-0,988","1,650","-1,083","1,650","-1,100","1,650","-1,170","1,650","-1,140","1,650","-1,202","1,650","-1,141","1,650","-1,116","1,650","-1,168","1,650","-1,127","1,650","-1,066","1,650","-1,070","1,650","-1,052","1,650","0,054"
"1,700","0,004","1,700","-0,064","1,700","-0,054","1,700","-0,123","1,700","-0,120","1,700","-0,197","1,700","-0,198","1,700","-0,279","1,700","-0,280","1,700","-0,361","1,700","-0,357","1,700","-0,425","1,700","-0,441","1,700","-0,522","1,700","-0,527","1,700","-0,588","1,700","-0,582","1,700","-0,650","1,700","-0,654","1,700","-0,706","1,700","-0,702","1,700","-0,781","1,700","-0,782","1,700","-0,832","1,700","-0,840","1,700","-0,924","1,700","-0,907","1,700","-0,993","1,700","-0,993","1,700","-1,106","1,700","-1,109","1,700","-1,197","1,700","-1,195","1,700","-1,292","1,700","-1,220","1,700","-1,224","1,700","-1,265","1,700","-1,254","1,700","-1,150","1,700","-1,154","1,700","-1,174","1,700","0,057"
"1,750","-0,007","1,750","-0,052","1,750","-0,050","1,750","-0,125","1,750","-0,138","1,750","-0,204","1,750","-0,198","1,750","-0,288","1,750","-0,255","1,750","-0,363","1,750","-0,368","1,750","-0,441","1,750","-0,443","1,750","-0,520","1,750","-0,522","1,750","-0,581","1,750","-0,595","1,750","-0,656","1,750","-0,650","1,750","-0,697","1,750","-0,715","1,750","-0,761","1,750","-0,768","1,750","-0,838","1,750","-0,843","1,750","-0,927","1,750","-0,907","1,750","-1,006","1,750","-0,988","1,750","-1,133","1,750","-1,118","1,750","-1,218","1,750","-1,217","1,750","-1,340","1,750","-1,284","1,750","-1,349","1,750","-1,376","1,750","-1,349","1,750","-1,252","1,750","-1,233","1,750","-1,272","1,750","0,043"
"1,800","0,007","1,800","-0,046","1,800","-0,057","1,800","-0,125","1,800","-0,127","1,800","-0,195","1,800","-0,204","1,800","-0,286","1,800","-0,273","1,800","-0,368","1,800","-0,354","1,800","-0,443","1,800","-0,436","1,800","-0,520","1,800","-0,513","1,800","-0,588","1,800","-0,602","1,800","-0,665","1,800","-0,668","1,800","-0,693","1,800","-0,711","1,800","-0,761","1,800","-0,757","1,800","-0,834","1,800","-0,847","1,800","-0,934","1,800","-0,897","1,800","-0,993","1,800","-0,995","1,800","-1,115","1,800","-1,118","1,800","-1,222","1,800","-1,213","1,800","-1,352","1,800","-1,293","1,800","-1,447","1,800","-1,436","1,800","-1,470","1,800","-1,386","1,800","-1,381","1,800","-1,383","1,800","0,050"
"1,850","0,007","1,850","-0,057","1,850","-0,054","1,850","-0,118","1,850","-0,125","1,850","-0,200","1,850","-0,198","1,850","-0,277","1,850","-0,286","1,850","-0,361","1,850","-0,355","1,850","-0,447","1,850","-0,436","1,850","-0,520","1,850","-0,514","1,850","-0,582","1,850","-0,598","1,850","-0,659","1,850","-0,657","1,850","-0,700","1,850","-0,702","1,850","-0,759","1,850","-0,768","1,850","-0,834","1,850","-0,845","1,850","-0,929","1,850","-0,891","1,850","-0,979","1,850","-1,004","1,850","-1,108","1,850","-1,113","1,850","-1,202","1,850","-1,220","1,850","-1,329","1,850","-1,299","1,850","-1,470","1,850","-1,447","1,850","-1,545","1,850","-1,483","1,850","-1,518","1,850","-1,533","1,850","0,064"
"1,900","0,004","1,900","-0,059","1,900","-0,054","1,900","-0,114","1,900","-0,127","1,900","-0,207","1,900","-0,248","1,900","-0,279","1,900","-0,264","1,900","-0,359","1,900","-0,370","1,900","-0,427","1,900","-0,436","1,900","-0,529","1,900","-0,514","1,900","-0,593","1,900","-0,595","1,900","-0,648","1,900","-0,656","1,900","-0,700","1,900","-0,715","1,900","-0,770","1,900","-0,782","1,900","-0,836","1,900","-0,845","1,900","-0,913","1,900","-0,909","1,900","-1,011","1,900","-0,995","1,900","-1,124","1,900","-1,113","1,900","-1,225","1,900","-1,224","1,900","-1,336","1,900","-1,288","1,900","-1,463","1,900","-1,436","1,900","-1,556","1,900","-1,493","1,900","-1,540","1,900","-1,588","1,900","0,054"
"1,950","-0,004","1,950","-0,054","1,950","-0,057","1,950","-0,132","1,950","-0,125","1,950","-0,205","1,950","-0,229","1,950","-0,304","1,950","-0,264","1,950","-0,373","1,950","-0,350","1,950","-0,432","1,950","-0,434","1,950","-0,518","1,950","-0,514","1,950","-0,593","1,950","-0,604","1,950","-0,668","1,950","-0,663","1,950","-0,702","1,950","-0,707","1,950","-0,761","1,950","-0,759","1,950","-0,836","1,950","-0,841","1,950","-0,922","1,950","-0,906","1,950","-1,011","1,950","-1,004","1,950","-1,122","1,950","-1,106","1,950","-1,224","1,950","-1,233","1,950","-1,329","1,950","-1,302","1,950","-1,476","1,950","-1,438","1,950","-1,549","1,950","-1,488","1,950","-1,554","1,950","-1,568","1,950","0,045"
"2,000","-0,002","2,000","-0,054","2,000","-0,066","2,000","-0,141","2,000","-0,136","2,000","-0,205","2,000","-0,168","2,000","-0,286","2,000","-0,279","2,000","-0,361","2,000","-0,354","2,000","-0,452","2,000","-0,441","2,000","-0,518","2,000","-0,514","2,000","-0,584","2,000","-0,606","2,000","-0,647","2,000","-0,663","2,000","-0,707","2,000","-0,706","2,000","-0,765","2,000","-0,757","2,000","-0,847","2,000","-0,845","2,000","-0,934","2,000","-0,909","2,000","-0,983","2,000","-0,999","2,000","-1,113","2,000","-1,111","2,000","-1,204","2,000","-1,227","2,000","-1,359","2,000","-1,300","2,000","-1,468","2,000","-1,440","2,000","-1,551","2,000","-1,506","2,000","-1,588","2,000","-1,593","2,000","0,052"
"2,050","0,005","2,050","-0,055","2,050","-0,054","2,050","-0,125","2,050","-0,120","2,050","-0,189","2,050","-0,197","2,050","-0,257","2,050","-0,275","2,050","-0,364","2,050","-0,361","2,050","-0,436","2,050","-0,420","2,050","-0,523","2,050","-0,502","2,050","-0,593","2,050","-0,600","2,050","-0,657","2,050","-0,650","2,050","-0,700","2,050","-0,711","2,050","-0,765","2,050","-0,772","2,050","-0,838","2,050","-0,849","2,050","-0,916","2,050","-0,909","2,050","-0,997","2,050","-0,993","2,050","-1,104","2,050","-1,108","2,050","-1,209","2,050","-1,222","2,050","-1,342","2,050","-1,290","2,050","-1,474","2,050","-1,463","2,050","-1,560","2,050","-1,490","2,050","-1,585","2,050","-1,622","2,050","0,061"
"2,100","0,004","2,100","-0,061","2,100","-0,055","2,100","-0,125","2,100","-0,120","2,100","-0,202","2,100","-0,189","2,100","-0,302","2,100","-0,273","2,100","-0,363","2,100","-0,359","2,100","-0,432","2,100","-0,434","2,100","-0,518","2,100","-0,518","2,100","-0,595","2,100","-0,597","2,100","-0,659","2,100","-0,663","2,100","-0,704","2,100","-0,691","2,100","-0,786","2,100","-0,768","2,100","-0,836","2,100","-0,843","2,100","-0,915","2,100","-0,906","2,100","-0,997","2,100","-0,991","2,100","-1,109","2,100","-1,106","2,100","-1,229","2,100","-1,217","2,100","-1,324","2,100","-1,302","2,100","-1,468","2,100","-1,426","2,100","-1,536","2,100","-1,495","2,100","-1,558","2,100","-1,597","2,100","0,043"
"2,150","-0,004","2,150","-0,059","2,150","-0,057","2,150","-0,127","2,150","-0,136","2,150","-0,202","2,150","-0,193","2,150","-0,300","2,150","-0,275","2,150","-0,370","2,150","-0,354","2,150","-0,434","2,150","-0,439","2,150","-0,518","2,150","-0,514","2,150","-0,593","2,150","-0,597","2,150","-0,656","2,150","-0,659","2,150","-0,709","2,150","-0,697","2,150","-0,754","2,150","-0,770","2,150","-0,834","2,150","-0,840","2,150","-0,934","2,150","-0,936","2,150","-0,988","2,150","-0,986","2,150","-1,106","2,150","-1,102","2,150","-1,217","2,150","-1,225","2,150","-1,329","2,150","-1,309","2,150","-1,445","2,150","-1,451","2,150","-1,533","2,150","-1,481","2,150","-1,563","2,150","-1,579","2,150","0,048"
"2,200","0,005","2,200","-0,052","2,200","-0,061","2,200","-0,139","2,200","-0,132","2,200","-0,191","2,200","-0,227","2,200","-0,261","2,200","-0,275","2,200","-0,366","2,200","-0,364","2,200","-0,447","2,200","-0,429","2,200","-0,516","2,200","-0,498","2,200","-0,597","2,200","-0,588","2,200","-0,656","2,200","-0,641","2,200","-0,706","2,200","-0,706","2,200","-0,765","2,200","-0,757","2,200","-0,850","2,200","-0,847","2,200","-0,934","2,200","-0,907","2,200","-0,990","2,200","-1,002","2,200","-1,102","2,200","-1,099","2,200","-1,211","2,200","-1,218","2,200","-1,349","2,200","-1,304","2,200","-1,465","2,200","-1,456","2,200","-1,540","2,200","-1,501","2,200","-1,581","2,200","-1,606","2,200","0,052"
"2,250","0,002","2,250","-0,054","2,250","-0,063","2,250","-0,130","2,250","-0,121","2,250","-0,197","2,250","-0,161","2,250","-0,266","2,250","-0,277","2,250","-0,372","2,250","-0,363","2,250","-0,445","2,250","-0,436","2,250","-0,513","2,250","-0,511","2,250","-0,595","2,250","-0,588","2,250","-0,654","2,250","-0,666","2,250","-0,707","2,250","-0,700","2,250","-0,782","2,250","-0,766","2,250","-0,841","2,250","-0,850","2,250","-0,922","2,250","-0,893","2,250","-0,991","2,250","-1,002","2,250","-1,104","2,250","-1,106","2,250","-1,202","2,250","-1,208","2,250","-1,347","2,250","-1,295","2,250","-1,477","2,250","-1,454","2,250","-1,547","2,250","-1,504","2,250","-1,576","2,250","-1,610","2,250","0,050"
"2,300","-0,011","2,300","-0,061","2,300","-0,055","2,300","-0,116","2,300","-0,123","2,300","-0,200","2,300","-0,155","2,300","-0,298","2,300","-0,273","2,300","-0,361","2,300","-0,359","2,300","-0,414","2,300","-0,434","2,300","-0,525","2,300","-0,514","2,300","-0,586","2,300","-0,598","2,300","-0,668","2,300","-0,661","2,300","-0,709","2,300","-0,691","2,300","-0,775","2,300","-0,775","2,300","-0,827","2,300","-0,840","2,300","-0,915","2,300","-0,927","2,300","-1,015","2,300","-0,993","2,300","-1,106","2,300","-1,099","2,300","-1,225","2,300","-1,218","2,300","-1,324","2,300","-1,309","2,300","-1,459","2,300","-1,436","2,300","-1,536","2,300","-1,499","2,300","-1,551","2,300","-1,581","2,300","0,046"
"2,350","0,011","2,350","-0,057","2,350","-0,057","2,350","-0,139","2,350","-0,121","2,350","-0,200","2,350","-0,225","2,350","-0,293","2,350","-0,270","2,350","-0,370","2,350","-0,357","2,350","-0,441","2,350","-0,436","2,350","-0,522","2,350","-0,518","2,350","-0,586","2,350","-0,590","2,350","-0,643","2,350","-0,647","2,350","-0,715","2,350","-0,704","2,350","-0,757","2,350","-0,745","2,350","-0,843","2,350","-0,838","2,350","-0,936","2,350","-0,915","2,350","-1,000","2,350","-1,002","2,350","-1,109","2,350","-1,097","2,350","-1,247","2,350","-1,224","2,350","-1,329","2,350","-1,320","2,350","-1,476","2,350","-1,447","2,350","-1,529","2,350","-1,499","2,350","-1,577","2,350","-1,585","2,350","0,055"
"2,400","0,004","2,400","-0,057","2,400","-0,068","2,400","-0,141","2,400","-0,136","2,400","-0,197","2,400","-0,193","2,400","-0,273","2,400","-0,270","2,400","-0,373","2,400","-0,359","2,400","-0,452","2,400","-0,432","2,400","-0,506","2,400","-0,506","2,400","-0,595","2,400","-0,590","2,400","-0,650","2,400","-0,648","2,400","-0,707","2,400","-0,706","2,400","-0,775","2,400","-0,763","2,400","-0,843","2,400","-0,843","2,400","-0,940","2,400","-0,915","2,400","-0,974","2,400","-1,000","2,400","-1,109","2,400","-1,097","2,400","-1,195","2,400","-1,220","2,400","-1,356","2,400","-1,317","2,400","-1,479","2,400","-1,449","2,400","-1,554","2,400","-1,504","2,400","-1,560","2,400","-1,626","2,400","0,048"
"2,450","-0,007","2,450","-0,057","2,450","-0,061","2,450","-0,120","2,450","-0,127","2,450","-0,204","2,450","-0,163","2,450","-0,279","2,450","-0,277","2,450","-0,368","2,450","-0,359","2,450","-0,438","2,450","-0,431","2,450","-0,518","2,450","-0,507","2,450","-0,584","2,450","-0,590","2,450","-0,652","2,450","-0,668","2,450","-0,711","2,450","-0,697","2,450","-0,791","2,450","-0,766","2,450","-0,832","2,450","-0,847","2,450","-0,925","2,450","-0,929","2,450","-1,009","2,450","-0,993","2,450","-1,116","2,450","-1,108","2,450","-1,208","2,450","-1,209","2,450","-1,361","2,450","-1,322","2,450","-1,463","2,450","-1,443","2,450","-1,543","2,450","-1,493","2,450","-1,547","2,450","-1,592","2,450","0,052"
"2,500","0,002","2,500","-0,054","2,500","-0,050","2,500","-0,127","2,500","-0,109","2,500","-0,197","2,500","-0,197","2,500","-0,289","2,500","-0,273","2,500","-0,368","2,500","-0,361","2,500","-0,432","2,500","-0,432","2,500","-0,523","2,500","-0,516","2,500","-0,573","2,500","-0,602","2,500","-0,648","2,500","-0,663","2,500","-0,711","2,500","-0,693","2,500","-0,786","2,500","-0,750","2,500","-0,834","2,500","-0,840","2,500","-0,927","2,500","-0,915","2,500","-1,002","2,500","-0,991","2,500","-1,095","2,500","-1,097","2,500","-1,243","2,500","-1,220","2,500","-1,331","2,500","-1,304","2,500","-1,468","2,500","-1,433","2,500","-1,515","2,500","-1,492","2,500","-1,586","2,500","-1,583","2,500","0,043"
"2,550","0,005","2,550","-0,061","2,550","-0,063","2,550","-0,139","2,550","-0,132","2,550","-0,202","2,550","-0,193","2,550","-0,286","2,550","-0,273","2,550","-0,359","2,550","-0,350","2,550","-0,432","2,550","-0,431","2,550","-0,511","2,550","-0,516","2,550","-0,586","2,550","-0,598","2,550","-0,645","2,550","-0,643","2,550","-0,711","2,550","-0,698","2,550","-0,770","2,550","-0,770","2,550","-0,843","2,550","-0,841","2,550","-0,931","2,550","-0,906","2,550","-0,975","2,550","-0,997","2,550","-1,091","2,550","-1,086","2,550","-1,220","2,550","-1,234","2,550","-1,327","2,550","-1,308","2,550","-1,454","2,550","-1,431","2,550","-1,531","2,550","-1,497","2,550","-1,579","2,550","-1,618","2,550","0,054"
"2,600","-0,004","2,600","-0,063","2,600","-0,064","2,600","-0,127","2,600","-0,146","2,600","-0,202","2,600","-0,209","2,600","-0,270","2,600","-0,266","2,600","-0,364","2,600","-0,373","2,600","-0,447","2,600","-0,429","2,600","-0,511","2,600","-0,520","2,600","-0,593","2,600","-0,591","2,600","-0,638","2,600","-0,650","2,600","-0,715","2,600","-0,704","2,600","-0,795","2,600","-0,765","2,600","-0,841","2,600","-0,850","2,600","-0,938","2,600","-0,920","2,600","-0,995","2,600","-0,991","2,600","-1,102","2,600","-1,099","2,600","-1,206","2,600","-1,213","2,600","-1,363","2,600","-1,327","2,600","-1,454","2,600","-1,442","2,600","-1,554","2,600","-1,502","2,600","-1,558","2,600","-1,601","2,600","0,050"
"2,650","-0,004","2,650","-0,050","2,650","-0,057","2,650","-0,139","2,650","-0,116","2,650","-0,202","2,650","-0,216","2,650","-0,279","2,650","-0,270","2,650","-0,372","2,650","-0,355","2,650","-0,432","2,650","-0,439","2,650","-0,509","2,650","-0,511","2,650","-0,572","2,650","-0,581","2,650","-0,668","2,650","-0,682","2,650","-0,704","2,650","-0,704","2,650","-0,791","2,650","-0,756","2,650","-0,845","2,650","-0,845","2,650","-0,925","2,650","-0,924","2,650","-1,016","2,650","-0,999","2,650","-1,109","2,650","-1,106","2,650","-1,222","2,650","-1,213","2,650","-1,347","2,650","-1,299","2,650","-1,472","2,650","-1,434","2,650","-1,545","2,650","-1,506","2,650","-1,574","2,650","-1,572","2,650","0,048"
"2,700","0,005","2,700","-0,057","2,700","-0,057","2,700","-0,125","2,700","-0,114","2,700","-0,202","2,700","-0,188","2,700","-0,284","2,700","-0,282","2,700","-0,364","2,700","-0,347","2,700","-0,431","2,700","-0,443","2,700","-0,522","2,700","-0,514","2,700","-0,568","2,700","-0,598","2,700","-0,656","2,700","-0,670","2,700","-0,713","2,700","-0,688","2,700","-0,795","2,700","-0,766","2,700","-0,820","2,700","-0,836","2,700","-0,931","2,700","-0,907","2,700","-0,990","2,700","-0,990","2,700","-1,084","2,700","-1,093","2,700","-1,233","2,700","-1,220","2,700","-1,331","2,700","-1,299","2,700","-1,463","2,700","-1,433","2,700","-1,517","2,700","-1,511","2,700","-1,585","2,700","-1,608","2,700","0,054"
"2,750","0,002","2,750","-0,075","2,750","-0,059","2,750","-0,125","2,750","-0,138","2,750","-0,200","2,750","-0,216","2,750","-0,280","2,750","-0,277","2,750","-0,364","2,750","-0,364","2,750","-0,447","2,750","-0,429","2,750","-0,520","2,750","-0,514","2,750","-0,590","2,750","-0,597","2,750","-0,636","2,750","-0,656","2,750","-0,713","2,750","-0,706","2,750","-0,774","2,750","-0,777","2,750","-0,825","2,750","-0,843","2,750","-0,929","2,750","-0,906","2,750","-0,993","2,750","-0,993","2,750","-1,093","2,750","-1,090","2,750","-1,218","2,750","-1,225","2,750","-1,327","2,750","-1,315","2,750","-1,449","2,750","-1,447","2,750","-1,522","2,750","-1,492","2,750","-1,572","2,750","-1,635","2,750","0,063"
"2,800","-0,004","2,800","-0,063","2,800","-0,061","2,800","-0,134","2,800","-0,134","2,800","-0,202","2,800","-0,225","2,800","-0,286","2,800","-0,263","2,800","-0,375","2,800","-0,359","2,800","-0,423","2,800","-0,425","2,800","-0,514","2,800","-0,522","2,800","-0,590","2,800","-0,573","2,800","-0,656","2,800","-0,659","2,800","-0,711","2,800","-0,709","2,800","-0,795","2,800","-0,750","2,800","-0,843","2,800","-0,849","2,800","-0,934","2,800","-0,916","2,800","-0,995","2,800","-1,004","2,800","-1,106","2,800","-1,109","2,800","-1,224","2,800","-1,220","2,800","-1,347","2,800","-1,324","2,800","-1,463","2,800","-1,447","2,800","-1,543","2,800","-1,506","2,800","-1,567","2,800","-1,588","2,800","0,052"
"2,850","0,004","2,850","-0,048","2,850","-0,061","2,850","-0,136","2,850","-0,118","2,850","-0,211","2,850","-0,189","2,850","-0,284","2,850","-0,275","2,850","-0,375","2,850","-0,354","2,850","-0,434","2,850","-0,448","2,850","-0,520","2,850","-0,516","2,850","-0,575","2,850","-0,581","2,850","-0,656","2,850","-0,677","2,850","-0,709","2,850","-0,697","2,850","-0,791","2,850","-0,768","2,850","-0,820","2,850","-0,845","2,850","-0,940","2,850","-0,940","2,850","-0,993","2,850","-0,991","2,850","-1,095","2,850","-1,104","2,850","-1,218","2,850","-1,218","2,850","-1,351","2,850","-1,309","2,850","-1,468","2,850","-1,451","2,850","-1,529","2,850","-1,511","2,850","-1,579","2,850","-1,579","2,850","0,046"
"2,900","0,011","2,900","-0,054","2,900","-0,057","2,900","-0,125","2,900","-0,118","2,900","-0,198","2,900","-0,211","2,900","-0,279","2,900","-0,280","2,900","-0,366","2,900","-0,352","2,900","-0,432","2,900","-0,432","2,900","-0,529","2,900","-0,507","2,900","-0,581","2,900","-0,591","2,900","-0,627","2,900","-0,673","2,900","-0,716","2,900","-0,700","2,900","-0,786","2,900","-0,759","2,900","-0,827","2,900","-0,838","2,900","-0,929","2,900","-0,918","2,900","-1,002","2,900","-0,983","2,900","-1,088","2,900","-1,093","2,900","-1,222","2,900","-1,222","2,900","-1,324","2,900","-1,311","2,900","-1,467","2,900","-1,447","2,900","-1,490","2,900","-1,509","2,900","-1,583","2,900","-1,624","2,900","0,046"
"2,950","-4,302E-16","2,950","-0,064","2,950","-0,057","2,950","-0,127","2,950","-0,132","2,950","-0,197","2,950","-0,207","2,950","-0,279","2,950","-0,268","2,950","-0,364","2,950","-0,375","2,950","-0,445","2,950","-0,425","2,950","-0,522","2,950","-0,516","2,950","-0,584","2,950","-0,586","2,950","-0,659","2,950","-0,661","2,950","-0,715","2,950","-0,709","2,950","-0,777","2,950","-0,761","2,950","-0,834","2,950","-0,847","2,950","-0,927","2,950","-0,907","2,950","-0,997","2,950","-0,995","2,950","-1,097","2,950","-1,097","2,950","-1,209","2,950","-1,208","2,950","-1,322","2,950","-1,309","2,950","-1,474","2,950","-1,436","2,950","-1,531","2,950","-1,504","2,950","-1,577","2,950","-1,611","2,950","0,055"
"3,000","-0,005","3,000","-0,055","3,000","-0,066","3,000","-0,132","3,000","-0,134","3,000","-0,211","3,000","-0,182","3,000","-0,297","3,000","-0,272","3,000","-0,370","3,000","-0,364","3,000","-0,439","3,000","-0,441","3,000","-0,523","3,000","-0,527","3,000","-0,590","3,000","-0,570","3,000","-0,648","3,000","-0,665","3,000","-0,707","3,000","-0,707","3,000","-0,807","3,000","-0,766","3,000","-0,827","3,000","-0,856","3,000","-0,931","3,000","-0,931","3,000","-1,002","3,000","-0,999","3,000","-1,093","3,000","-1,099","3,000","-1,220","3,000","-1,200","3,000","-1,334","3,000","-1,315","3,000","-1,468","3,000","-1,461","3,000","-1,543","3,000","-1,506","3,000","-1,579","3,000","-1,572","3,000","0,052"
"3,050","0,013","3,050","-0,052","3,050","-0,057","3,050","-0,129","3,050","-0,116","3,050","-0,205","3,050","-0,229","3,050","-0,275","3,050","-0,273","3,050","-0,364","3,050","-0,348","3,050","-0,425","3,050","-0,439","3,050","-0,525","3,050","-0,514","3,050","-0,584","3,050","-0,582","3,050","-0,620","3,050","-0,673","3,050","-0,704","3,050","-0,693","3,050","-0,788","3,050","-0,766","3,050","-0,838","3,050","-0,850","3,050","-0,936","3,050","-0,925","3,050","-1,008","3,050","-0,997","3,050","-1,093","3,050","-1,104","3,050","-1,234","3,050","-1,211","3,050","-1,333","3,050","-1,300","3,050","-1,458","3,050","-1,451","3,050","-1,513","3,050","-1,497","3,050","-1,599","3,050","-1,593","3,050","0,050"
"3,100","-0,014","3,100","-0,059","3,100","-0,057","3,100","-0,125","3,100","-0,121","3,100","-0,193","3,100","-0,213","3,100","-0,273","3,100","-0,277","3,100","-0,372","3,100","-0,357","3,100","-0,447","3,100","-0,422","3,100","-0,522","3,100","-0,502","3,100","-0,590","3,100","-0,597","3,100","-0,643","3,100","-0,677","3,100","-0,711","3,100","-0,702","3,100","-0,781","3,100","-0,759","3,100","-0,827","3,100","-0,845","3,100","-0,931","3,100","-0,925","3,100","-0,990","3,100","-0,991","3,100","-1,086","3,100","-1,102","3,100","-1,211","3,100","-1,209","3,100","-1,324","3,100","-1,302","3,100","-1,452","3,100","-1,438","3,100","-1,502","3,100","-1,484","3,100","-1,576","3,100","-1,618","3,100","0,050"
"3,150","-0,002","3,150","-0,059","3,150","-0,063","3,150","-0,121","3,150","-0,136","3,150","-0,200","3,150","-0,182","3,150","-0,300","3,150","-0,254","3,150","-0,363","3,150","-0,375","3,150","-0,441","3,150","-0,416","3,150","-0,520","3,150","-0,520","3,150","-0,597","3,150","-0,593","3,150","-0,647","3,150","-0,666","3,150","-0,711","3,150","-0,698","3,150","-0,797","3,150","-0,784","3,150","-0,824","3,150","-0,850","3,150","-0,920","3,150","-0,895","3,150","-1,000","3,150","-0,999","3,150","-1,090","3,150","-1,099","3,150","-1,208","3,150","-1,192","3,150","-1,331","3,150","-1,304","3,150","-1,476","3,150","-1,447","3,150","-1,524","3,150","-1,488","3,150","-1,560","3,150","-1,617","3,150","0,064"
"3,200","0,009","3,200","-0,063","3,200","-0,059","3,200","-0,125","3,200","-0,127","3,200","-0,205","3,200","-0,216","3,200","-0,293","3,200","-0,282","3,200","-0,370","3,200","-0,363","3,200","-0,438","3,200","-0,441","3,200","-0,529","3,200","-0,522","3,200","-0,595","3,200","-0,577","3,200","-0,650","3,200","-0,666","3,200","-0,691","3,200","-0,700","3,200","-0,782","3,200","-0,752","3,200","-0,850","3,200","-0,845","3,200","-0,929","3,200","-0,924","3,200","-0,997","3,200","-0,999","3,200","-1,104","3,200","-1,102","3,200","-1,234","3,200","-1,206","3,200","-1,317","3,200","-1,334","3,200","-1,459","3,200","-1,456","3,200","-1,522","3,200","-1,497","3,200","-1,601","3,200","-1,585","3,200","0,048"
"3,250","0,009","3,250","-0,048","3,250","-0,059","3,250","-0,132","3,250","-0,129","3,250","-0,193","3,250","-0,220","3,250","-0,268","3,250","-0,291","3,250","-0,370","3,250","-0,348","3,250","-0,443","3,250","-0,434","3,250","-0,523","3,250","-0,511","3,250","-0,591","3,250","-0,591","3,250","-0,634","3,250","-0,679","3,250","-0,695","3,250","-0,702","3,250","-0,791","3,250","-0,766","3,250","-0,854","3,250","-0,840","3,250","-0,943","3,250","-0,925","3,250","-0,986","3,250","-0,999","3,250","-1,095","3,250","-1,100","3,250","-1,217","3,250","-1,200","3,250","-1,333","3,250","-1,306","3,250","-1,449","3,250","-1,454","3,250","-1,506","3,250","-1,484","3,250","-1,595","3,250","-1,599","3,250","0,046"
