Tiempo_1,Angulo_1,Tiempo_2,Angulo_2,Tiempo_3,Angulo_3
2,0.18,2,29.86,1,45.01
21,-1.47,22,27.46,21,44.77
41,0.52,42,32.13,41,45.80
61,-0.65,62,30.44,61,45.48
82,0.56,82,29.22,81,43.90
102,-2.51,102,28.81,101,58.74
122,-4.35,122,24.86,121,45.39
142,-2.59,142,29.03,142,46.57
162,-3.60,162,25.35,161,42.30
182,-2.84,183,25.60,181,44.15
202,-9.62,202,22.75,201,40.70
222,-10.95,222,18.93,221,36.48
242,-11.36,242,19.72,241,39.35
262,-15.17,262,16.02,261,35.79
282,-14.74,282,15.61,281,33.20
302,-20.18,302,11.46,301,32.95
322,-21.60,322,7.56,321,29.75
342,-25.53,342,6.87,341,27.70
362,-28.37,362,2.76,361,24.71
382,-29.15,382,1.06,381,23.19
402,-37.62,402,-3.26,401,20.55
423,-39.81,422,-8.00,421,17.24
442,-43.99,442,-9.83,442,14.48
462,-46.22,462,-15.18,462,10.21
482,-50.64,483,-18.20,482,7.35
502,-53.42,503,-22.11,502,4.58
522,41.37,523,-27.38,522,0.30
542,-17.83,543,-31.78,542,-4.88
562,-44.43,563,-37.62,562,-8.25
582,-21.88,583,-41.21,582,-13.27
602,-50.43,603,-46.58,602,-16.05
,,623,-51.27,622,-22.47
,,643,-35.24,642,-25.90
,,663,-33.97,662,-32.08
,,683,-50.77,682,-36.40
,,703,-36.01,702,-40.62
,,723,-50.84,722,-46.51
,,,,742,-50.60
,,,,762,-48.42
,,,,783,-63.59